Date,Won,Crimes
2014-09-18,L,260.0
2014-09-19,W,269.0
2014-09-20,L,247.0
2014-09-21,W,215.0
2014-09-23,L,242.0
2014-09-24,W,285.0
2014-09-25,W,267.0
2014-09-26,L,288.0
2014-09-27,W,264.0
2014-09-28,L,236.0
2014-09-29,L,216.0
2014-10-01,L,246.0
2014-10-02,W,235.0
2014-10-04,L,241.0
2014-10-05,W,244.0
2014-10-06,W,284.0
2014-10-07,W-wo,258.0
2014-10-08,W,239.0
2014-10-09,L,245.0
2014-10-11,W,229.0
2014-10-12,L,231.0
2014-10-13,L,245.0
2014-10-15,W,265.0
2014-10-16,W,236.0
2014-10-18,W,305.0
2014-10-21,W,261.0
2014-10-23,L,221.0
2014-10-25,W,264.0
2014-10-26,W,228.0
2014-10-28,L,249.0
2014-10-29,W,243.0
2014-10-30,W,251.0
2014-11-01,W,225.0
2014-11-03,L,253.0
2014-11-04,W,250.0
2014-11-05,W,216.0
2014-11-06,L,304.0
2014-11-07,W,232.0
2014-11-09,W,246.0
2014-11-10,L,244.0
2014-11-12,L,241.0
2014-11-13,L,213.0
2014-11-14,L,264.0
